name,location,address,venue_type,capacity,contact_email,contact_phone,website,typical_genres
O'Donnells Pub,"Southern Pines, NC","133 E New Hampshire Avenue, Southern Pines, NC 28387",club,,,,https://odonnellspubsopines.com/,
Jefferson Inn,"Southern Pines, NC","150 W New Hampshire Avenue, Southern Pines, NC 28387",club,,,,https://jeffersoninnsouthernpines.com/,
BHAWK,"Southern Pines, NC","175 Yadkin Road, Southern Pines, NC 28387",bar,,,,https://hallingwhiskey.com/,
Campbell House/Arts Council,"Southern Pines, NC","482 E Conneticut Avenue, Southern Pines, NC 28387",other,,,,https://www.southernpines.net/facilities/facility/details/campbellhouse-29,
Neville's,"Southern Pines, NC","130 W New Hampshire Avenue, Southern Pines, NC 28387",club,,,,,
Rec Room Bar + Arcade,"Southern Pines, NC","750 SW Broad Street, Southern Pines, NC 28387",club,,,,https://recroomsouthernpines.com/,
Hatchet Brewing Co,"Southern Pines, NC","490 SW Broad Street, Southern Pines, NC 28387",bar,,,,https://hatchetbrewing.com/?srsltid=AfmBOoroswFoRV9i7Lpk8qoI1FZJOjRMaJVwk3ULcrIwBbMyCWlW9UO9,
Southern Pines Brewing Co,"Southern Pines, NC","205 W Pennsylvania Avenue, Southern Pines, NC 28387",bar,,,,https://southernpinesbrewing.com/,
Southern Pines Growler,"Southern Pines, NC","160 W New York Avenue, Southern Pines, NC 28387",bar,,,,https://www.spgrowler.com/,
Mann Center of North Carolina,"Sanford, NC","507 N. Steele Street, Sanford, NC 27330",club,,,,https://manncenternc.org/,
Hugger Mugger,"Sanford, NC","229 Wicker Street, Sanford, NC 27330",bar,,,,https://www.huggermuggerbrewing.com/,
Circle M,"Sanford, NC","74 Cowboy Lane, Sanford, NC 27330",other,,,,https://circlemcity.com/,
Camelback Brewing Co,"Sanford, NC","804 Spring Lane, Sanford, NC 27330",bar,,,,https://camelbackbrewingco.com/,
Temple Theatre,"Sanford, NC","120 Carthage Street, Sanford, NC 27330",theater,,,,https://templeshows.org/,
Deep River Sporting Clays,"Sanford, NC","284 Cletus Hall Road, Sanford, NC 27330",outdoor,,,,https://www.deepriversportingclays.com/,
Dennis Wicker Civic Center,"Sanford, NC","1801 Nash Street, Sanford, NC 27330",bar,,,,https://dawcc.com/,
Gross Farms,"Sanford, NC","1606 Pickett Road, Sanford, NC 27330",other,,,,https://www.grossfarms.com/,
Depot Park,"Sanford, NC","106 Charlotte Avenue, Sanford, NC 27330",outdoor,,,,https://sanfordnc.net/697/Depot-Park,
Smoke and Barrel,"Sanford, NC","120 South Steele Street, Sanford, NC 27330",bar,,,,https://www.smokeandbarrelsanford.com/,
Wild Dogs Brewing,"Sanford, NC","136 North Steele Street, Sanford, NC 27330",bar,,,,https://www.facebook.com/wilddogsbrewing/,
Sanford Farmers' Market,"Sanford, NC","115 Chatham Street, Sanford 27330",other,,,,https://lee.ces.ncsu.edu/sanford-farmers-market/,
Kiwanis Park Stage,"Sanford, NC","1800 Wicker Street, Sanford, NC 27330",outdoor,,,,https://sanfordnc.net/700/Kiwanis-Family-Park,
Philip H. Kohl MOSAIC Family Commons,"Pittsboro, NC","457 Freedom Parkway, Pittsboro, NC 27312",other,,,,https://www.mosaicatchathampark.com/,
Havoc Brewing Co,"Pittsboro, NC","39 West Street, Pittsboro, NC 27312",bar,,,,https://havocbrewing.com/,
The Mod (Modern Life Deli & Drinks),"Pittsboro, NC","49 Sanford Road, Pittsboro, NC 27312",club,,,,https://themodpittsboro.com/,
Doherty's,"Pittsboro, NC","56 Sanford Road, Pittsboro, NC 27312",club,,,,https://www.dohertysirishpubnc.com/pittsboronc,
The Plant,"Pittsboro, NC","220 Lorax Lane, Pittsboro, NC 27312",other,,,,https://www.theplantnc.com/,
City Tap Bar,"Pittsboro, NC","89 Hillsboro St, Pittsboro, NC 27312",club,,,,https://thecitytap.com/,
Chatham County Agriculture & Conference Center,"Pittsboro, NC","1192 US-64 W Business, Pittsboro, NC 27312",other,,,,https://chathammeetings.com/,
Shakori Hills Community Arts Center,"Pittsboro, NC","1439 Henderson Tanyard Road, Pittsboro, NC 27312",other,,,,https://www.shakorihills.org/,
Carolina Brewery & Grill,"Pittsboro, NC","120 Lowe Dr, Ste 100, Pittsboro, NC 27312",club,,,,https://www.carolinabrewery.com/pittsboro/,
Fearrington Village,"Pittsboro, NC","240 Market St Pittsboro, NC 27312",club,,,,https://fearrington.com/,
Forest Hall at Chatham Mills,"Pittsboro, NC","480 Hillsboro St, Suite 350, Pittsboro, NC 27312",other,,,,https://www.foresthallatchathammills.com/,
Piedmont Farm Animal Refuge,"Pittsboro, NC","7236 NC-87, Pittsboro, NC 27312",other,,,,https://www.piedmontrefuge.org/,
Pittsboro Community House,"Pittsboro, NC","65 Thompson St, Pittsboro, NC 27312",other,,,,https://pittsboronc.gov/Facilities/Facility/Details/Community-House-7,
Inn at Celebrity Dairy,"Siler City, NC","144 Celebrity Dairy Way, Siler City, NC 27344",other,,,,https://celebritydairy.com/,
Courtyard at The Chatham Rabbit,"Siler City, NC","223B N Chatham Street, Siler City, NC 27344",other,,,,https://thechathamrabbit.com/,
Silk Hope Farm Heritage Park,"Siler City, NC","4221 Silk Hope Road, Siler City, NC 27344",other,,,,https://silkhopenc.org/facility-rental,
Rivers & Bridges,"Silk Hope, NC","815 Harold Hackney Road, Silk Hope, NC 27344",other,,,,https://visitpittsboro.com/location/rivers-bridges/,
Oakland Farm,"Bear Creek, NC","3355 Rosser Rd, Bear Creek NC, 27207",other,,,,https://oaklandfarmvenue.com/,
Barn at Woodlake Meadows,"Bear Creek, NC","3809 Mclaurin Rd, Bear Creek, NC 27207",other,,,,https://www.woodlakemeadows.com/,
Old Lystra Inn,"Chapel Hill, NC","1164 Old Lystra Road, Chapel Hill, NC 27517",other,,,,https://oldlystrainn.com/,
Parlour at Manns Chapel,"Chapel Hill, NC","175 Poythress Road, Chapel Hill, NC 27516",other,,,,https://theparlourchapel.com/,
Big Pillow Brewing,"Hot Springs, NC","195 Bridge St, Hot Springs, NC 28743",bar,,,,https://bigpillowbrewing.com/,
The Depot,"Marshall, NC","282 S. Main St. Marshall, NC 28753",club,,,,https://www.marshalldepot.com/,
Mars Theatre Brewing Company,"Mars Hill, NC","70 N Main St, Mars Hill, NC 28754",bar,,,,https://www.marstheatrebrewingco.com/,
Mad Co. Brew House,"Marshall, NC","45 N. Main Street, Marshall, NC 28735",bar,,,,https://www.madisoncountybrewing.com/,
Rare Bird Farm,"Hot Springs, NC","91 Duckett Top Tower Rd. Hot Springs, NC, 28743",other,,,,https://rarebirdfarm.org/,
Old Marshall Jail Hotel,"Marshall, NC","33 Baileys Branch Rd, Marshall NC 28753",other,,,,https://oldmarshalljail.com/ballad-swaps,
Lookout Brewing,"Black Mountain, NC","103 S Ridgeway Ave, Black Mountain, NC 28711",bar,,,,https://www.lookoutbrewing.com/,
The Bush Farmhouse,"Black Mountain, NC","151 S Ridgeway Ave, Black Mountain, NC 28711",bar,,,,https://bushfarmhouse.com/,
Town Pump Tavern,"Black Mountain, NC","135 Cherry Street Black Mountain, NC 28711",bar,,,,https://www.facebook.com/pg/TheTownPumpTavern/,
Black Mountain Pizza & Ale House,"Black Mountain, NC","117 C Cherry St, Black Mountain, NC 28711",bar,,,,https://blkmtnpizza.com/,
Oak & Grist,"Black Mountain, NC","1556 Grovestone Rd, Black Mountain, NC 28711",club,,,,https://www.oakandgrist.com/oghome,
The Grange,"Black Mountain, NC",120 Broadway Ave. Black Mountain NC 28711,bar,,,,https://foothillslocalmeats.com/foothills-grange/,
Concerts on the Creek - Bridge Park,"Sylva, NC","Bridge Park Sylva, NC 28779",club,,,,https://www.facebook.com/ConcertsOnTheCreek/,
The Rooster,"Gastonia, NC","334 W Main Ave, Gastonia, NC 28052",club,,,,https://theroostergastonia.com/,
Burntshirt Vineyards,"Chimney Rock, NC","438 US-74 ALT, Chimney Rock, NC 28720",bar,,,,https://burntshirtvineyards.com/,
Riverwatch Bar & Grill,"Chimney Rock, NC","379 Main St, Chimney Rock, NC 28720",bar,,,,https://riverwatchgrill.com/,
Old Rock Café,"Chimney Rock, NC","431 Main St Chimney Rock, NC 28720",bar,,,,https://oldrockcafe.com/,
The Purple Onion,"Saluda, NC","16 E Main St Saluda, NC 28773",club,,,,https://purpleonionsaluda.com,
Whiskey Rose,"Raleigh, NC","401 N West St, Raleigh, NC 27603",club,,,,https://www.whiskeyroseraleigh.com/,
